ENSMUSG00000026131.22	Dst
ENSMUSG00000103596.2	Gm37354
ENSMUSG00000099382.2	Gm28631
ENSMUSG00000084506.3	Gm23792
ENSMUSG00000127497.1	ENSMUSG00000127497
ENSMUSG00000103364.2	Gm38157
ENSMUSG00000105982.3	Mir6896
ENSMUSG00000096992.5	Gm26788
ENSMUSG00000103001.2	A930005N03Rik
ENSMUSG00000143827.1	ENSMUSG00000143827
ENSMUSG00000126561.1	ENSMUSG00000126561
ENSMUSG00000143057.1	ENSMUSG00000143057
ENSMUSG00000104397.2	Gm37958
ENSMUSG00000102839.2	Gm37385
ENSMUSG00000141576.1	ENSMUSG00000141576
ENSMUSG00000101206.2	Gm5266
ENSMUSG00000142399.1	ENSMUSG00000142399
ENSMUSG00000102336.4	Gm37233
ENSMUSG00000101462.4	Gm3052
ENSMUSG00000121838.1	ENSMUSG00000121838
ENSMUSG00000092852.3	Mir5103
ENSMUSG00000042111.10	Ccdc115
ENSMUSG00000101711.2	Gm28306
ENSMUSG00000026127.14	Imp4
ENSMUSG00000100280.5	Gm28417
ENSMUSG00000026126.16	Ptpn18
ENSMUSG00000101223.9	4930568A12Rik
ENSMUSG00000140102.1	ENSMUSG00000140102
ENSMUSG00000026125.10	Prss39
ENSMUSG00000132507.1	ENSMUSG00000132507
ENSMUSG00000128226.1	ENSMUSG00000128226
ENSMUSG00000101116.2	Gm28416
ENSMUSG00000026124.5	Cfc1
ENSMUSG00000101803.2	Gm28419
ENSMUSG00000037529.14	Prss40
ENSMUSG00000045815.6	1700101I19Rik
ENSMUSG00000045174.11	Amer3
ENSMUSG00000138441.1	ENSMUSG00000138441
ENSMUSG00000100524.2	Gm28418
ENSMUSG00000102499.2	Gm36984
ENSMUSG00000103521.2	Gm29730
ENSMUSG00000104098.2	AA619741
ENSMUSG00000138482.1	ENSMUSG00000138482
ENSMUSG00000037509.22	Arhgef4
